Score,Asian,Black,Hispanic,White
0.0,0.05230000000000004,0.003299999999999983,0.00950000000000003,0.014599999999999938
0.5,0.05519999999999996,0.00769999999999996,0.015100000000000051,0.020499999999999973
1.0,0.05810000000000002,0.012000000000000028,0.02069999999999993,0.026400000000000007
1.5,0.06099999999999994,0.016400000000000005,0.026200000000000046,0.03230000000000004
2.0,0.06390000000000001,0.02069999999999993,0.03180000000000007,0.03819999999999993
2.5,0.06680000000000007,0.025100000000000053,0.03739999999999995,0.04420000000000002
3.0,0.06969999999999998,0.029399999999999978,0.04290000000000006,0.050100000000000054
3.5,0.07260000000000005,0.033799999999999955,0.048499999999999946,0.055999999999999946
4.0,0.07549999999999997,0.03819999999999993,0.054000000000000055,0.061899999999999976
4.5,0.07849999999999994,0.0425,0.05959999999999994,0.06780000000000001
5.0,0.0814,0.046899999999999976,0.06519999999999997,0.07370000000000004
5.5,0.08430000000000007,0.051200000000000044,0.07069999999999993,0.07959999999999993
6.0,0.08719999999999999,0.055600000000000024,0.07629999999999995,0.08549999999999996
6.5,0.09010000000000006,0.059899999999999946,0.08180000000000007,0.09140000000000001
7.0,0.09299999999999997,0.06430000000000007,0.08739999999999995,0.09730000000000004
7.5,0.09590000000000004,0.0686,0.09299999999999997,0.10319999999999993
8.0,0.09879999999999996,0.07299999999999997,0.09849999999999995,0.10909999999999996
8.5,0.10170000000000001,0.07730000000000004,0.10409999999999997,0.115
9.0,0.10459999999999994,0.08170000000000002,0.10959999999999993,0.12090000000000004
9.5,0.1075,0.0861,0.11519999999999996,0.12680000000000008
10.0,0.11040000000000007,0.09040000000000006,0.12079999999999998,0.13269999999999996
10.5,0.12540000000000007,0.09290000000000007,0.1258,0.13950000000000004
11.0,0.14040000000000005,0.09540000000000007,0.13079999999999997,0.14629999999999996
11.5,0.15540000000000007,0.09790000000000006,0.13590000000000002,0.1531
12.0,0.17040000000000005,0.10040000000000006,0.14090000000000003,0.15989999999999996
12.5,0.18540000000000006,0.10299999999999997,0.14590000000000003,0.16670000000000001
13.0,0.20040000000000005,0.10549999999999997,0.15099999999999994,0.17349999999999993
13.5,0.21549999999999997,0.10799999999999997,0.15599999999999994,0.18030000000000002
14.0,0.23049999999999998,0.11049999999999997,0.1611,0.18700000000000003
14.5,0.24549999999999997,0.11299999999999998,0.1661,0.19379999999999994
15.0,0.26049999999999995,0.11549999999999998,0.1711,0.20060000000000003
15.5,0.27549999999999997,0.11799999999999997,0.17620000000000005,0.20739999999999995
16.0,0.2905,0.12049999999999997,0.18120000000000006,0.21420000000000003
16.5,0.3055,0.12299999999999997,0.18620000000000003,0.22099999999999995
17.0,0.32049999999999995,0.12549999999999997,0.19129999999999994,0.2278
17.5,0.33549999999999996,0.12799999999999997,0.19629999999999995,0.23459999999999995
18.0,0.3505,0.13060000000000002,0.20129999999999995,0.2414
18.5,0.3655,0.13310000000000002,0.2064,0.24819999999999992
19.0,0.38049999999999995,0.13560000000000003,0.2114,0.255
19.5,0.39549999999999996,0.13810000000000003,0.21650000000000005,0.2618000000000001
20.0,0.4105,0.14060000000000003,0.22150000000000006,0.2686
20.5,0.42219999999999996,0.1583,0.24120000000000005,0.28730000000000006
21.0,0.434,0.1761,0.2609,0.30590000000000006
21.5,0.4457,0.19379999999999994,0.28049999999999997,0.32459999999999994
22.0,0.45740000000000003,0.21159999999999995,0.30019999999999997,0.34319999999999995
22.5,0.46909999999999996,0.22930000000000006,0.31989999999999996,0.3619
23.0,0.48090000000000005,0.24709999999999993,0.33959999999999996,0.38049999999999995
23.5,0.4926,0.26480000000000004,0.3592,0.3992
24.0,0.5043,0.2825,0.3789,0.4178
24.5,0.516,0.3003,0.3986,0.4365
25.0,0.5278,0.31799999999999995,0.4183,0.4551
25.5,0.5395,0.3358,0.43799999999999994,0.4738
26.0,0.5512,0.3534999999999999,0.4576,0.4924
26.5,0.5629,0.3713,0.47729999999999995,0.5111
