,Black
0,0.0010516099803784629
1,0.01675148122451352
2,0.061652328898818
3,0.01690112338485977
4,0.020960242347950703
5,0.02027829131020824
6,0.02823513033903006
7,0.02359251547431533
8,0.02551465153958477
9,0.00837064602621765
10,0.036776520361259224
11,0.029889122363953163
12,0.027188268271676277
13,0.01714555800556249
14,0.024822270165927914
15,0.011511774846910235
16,0.020120298852034604
17,0.008344570186431286
18,0.014394948799334867
19,0.01088223172531673
20,0.014669875572573743
21,0.009707462388351788
22,0.015407324438115698
23,0.014141003279843302
24,0.024135797306257187
25,0.012979437662909054
26,0.015235299259224646
27,0.013579332705392874
28,0.02118337918737098
29,0.012834739361204247
30,0.017598026580445045
31,0.011167091434057908
32,0.014979816320277336
33,0.011103785927062246
34,0.012522055374864309
35,0.009857571803630762
36,0.01074547675746592
37,0.008754593926147141
38,0.008989924612033994
39,0.006885333031958955
40,0.0487052071899562
41,0.01255985780618479
42,0.01490211634680988
43,0.008020084244858441
44,0.010219679303646704
45,0.007086101925574071
46,0.009419060585766803
47,0.0073137756596625214
48,0.01232874748743075
49,0.0065387655266364
50,0.008532075069056925
51,0.006307127661990845
52,0.008282847317110292
53,0.005780501207484648
54,0.00782802739482513
55,0.005455020465087706
56,0.0073732074725397865
57,0.00470824157363376
58,0.007081173139672454
59,0.002912822031534325
60,0.005475021990750439
61,0.0035718775775796727
62,0.005386183262599825
63,0.002775177772037755
64,0.004309959498191596
65,0.00312283051462299
66,0.0036442870193911345
67,0.003425491129021929
68,0.0033392147666304545
69,0.0029453339311985923
70,0.004778661413796783
71,0.0014526352944569975
72,0.0035580860206985395
73,0.0015353695630046542
74,0.004043714623055139
75,0.0014957885483924702
76,0.0035964762888695658
77,0.0014980193138771842
78,0.0024740545770943825
79,0.0010362056403428195
80,0.0016067088402929228
81,0.0018218872731196652
82,0.0021888632680783777
83,0.0008451285183937677
84,0.0022329208863994974
85,0.0014104014776470046
86,0.0019273210877471466
87,0.0009718299688240011
88,0.0018866849813517896
89,0.0011853956184961726
90,0.0012140941150010332
91,0.0011750557190201964
92,0.0011661477298215977
93,0.0005630271210287821
94,0.0012860061564002418
95,0.0005776627513365917
96,0.0010052010146546148
97,0.0005076498751472485
98,0.0006811672552747177
99,0.0006050800649617022
100,0.0007992772440411802
101,0.00041811780096745737
102,0.000653855450827942
103,0.00041038548547011423
104,0.000470540789855858
105,0.00048742225838809125
106,0.00062943761241528
107,0.000581988627647998
108,0.0005966544034353782
109,0.0002852968181943573
110,0.0007260237288031898
111,0.00043903876375557137
112,0.000494009045663586
113,0.0003714375259279402
114,0.00042577475276597734
115,0.00021056617445980007
116,0.00037892867758910885
117,0.00029976664836484513
118,0.0005005656874595987
119,0.00031158367633737455
120,0.0005621076839033487
121,0.00021361086789152152
122,0.00036685541304059063
123,0.00030875000126236017
124,0.0003196023738901766
125,0.0003297915459685806
126,0.0003231595404737667
127,0.0003485118887515906
128,0.0002636674366374812
129,0.00018213898727072495
130,0.0002078530813028418
131,0.00017436145355412944
132,0.00021297781282156357
133,0.00013866920580031034
134,0.00010840314436040298
135,0.0003436886120281171
136,9.02103474689934e-05
137,0.00012555592220833713
138,0.0002080640996594971
139,0.00011907464411113604
140,0.00015048623377284697
141,0.00016979441340657562
142,0.0001106339098450303
143,0.00010792081668806766
144,0.0001791093665788033
145,0.0002702240784334845
146,7.801650100242572e-05
147,0.00013294156469116704
148,0.0001752658179397745
149,0.00018833388331247782
150,0.00010454452298162524
151,8.44073426610417e-05
152,0.00013095196304273613
153,0.0002219913111985758
154,0.00015541501967466668
155,4.286687188000899e-05
156,8.265890484878675e-05
157,5.955239479532241e-05
158,0.00010177113886562551
159,0.00013515725743600693
160,0.00012371704795749436
161,5.928108547963263e-05
162,5.995935876887337e-05
163,8.085017607747851e-05
164,7.494166209120445e-05
165,9.643538899025238e-05
166,0.00010445408654305994
167,7.038969468341837e-05
168,7.825766483860289e-05
169,0.0001509836341849755
170,6.538554508279856e-05
171,9.54255154262714e-05
172,6.674209166127985e-05
173,0.00011985842657869548
174,3.0266061439893854e-05
175,9.170254870532035e-05
176,4.6393892984060375e-05
177,0.00010149982954991496
178,5.5181300264667004e-05
179,3.020577048084269e-05
180,2.1704745255700773e-05
181,4.151032530152083e-05
182,8.5628234581685e-05
183,9.525971528891479e-05
184,6.746558316979194e-05
185,6.366725275005556e-05
186,7.483615291288494e-05
187,4.205294393291559e-05
188,1.7363796204560636e-05
189,5.231747971008722e-05
190,1.4831575924728827e-05
191,3.038664335798441e-05
192,4.2836726400484097e-05
193,6.583772727562286e-05
194,1.4469830170467183e-05
195,8.38044330705806e-06
196,1.7785832917883732e-06
197,0.0
