,White
0,1.9244109058580476e-06
1,6.755209515426377e-05
2,0.0003131781035834761
3,0.00011495059938348045
4,0.00018629879276299834
5,0.00016895273281703952
6,0.0003037669434000333
7,0.0003026333862911027
8,0.00035083592521385434
9,0.00013404971857929092
10,0.0006314308523639067
11,0.0005560756664132755
12,0.0006311013299485193
13,0.0003373255061829981
14,0.0007053756823766719
15,0.00031286176206469113
16,0.0006758768357512437
17,0.00031831865326350796
18,0.0005099425282591391
19,0.0004345477996186885
20,0.0006121867433053257
21,0.0004596837694643642
22,0.0008099133734339334
23,0.0006457584869848984
24,0.0013067277286640843
25,0.0007910119676873336
26,0.0010977050701360216
27,0.0008555456375166542
28,0.0016021379836099125
29,0.0008685156397862707
30,0.0014278074449737574
31,0.0008747897465752308
32,0.0013552070664157412
33,0.0009904125716861272
34,0.001231069382091279
35,0.0008967491203366247
36,0.0013682034304785876
37,0.0009160195911884036
38,0.0013444514547775491
39,0.000897197270821517
40,0.003682004384150746
41,0.0012875363431919286
42,0.001975697774588839
43,0.0011552001411726427
44,0.0019451839989239894
45,0.001478751610392486
46,0.001955979153252101
47,0.0018942530144018214
48,0.0033041871635650587
49,0.002071246094154296
50,0.002699381722364394
51,0.001873532644922361
52,0.0027908176021858183
53,0.002694702504065904
54,0.004189152562327456
55,0.0025299412963725766
56,0.004259933977152511
57,0.0027792184131641955
58,0.00581460755205013
59,0.00353103039431715
60,0.0044821375322959545
61,0.003002805962452425
62,0.00548144720919752
63,0.0031759106777032543
64,0.004382186793260959
65,0.003716446067006903
66,0.004776598762685553
67,0.0037228124400721717
68,0.005091279488483194
69,0.004679284202973567
70,0.0070597014081401985
71,0.0025459429048637515
72,0.007435014258369079
73,0.0033118584453951595
74,0.007821043177546236
75,0.0034946774814516735
76,0.007799795572202103
77,0.0031562975035394226
78,0.007023888912036072
79,0.002583244842285521
80,0.005768935745277539
81,0.004268712454298301
82,0.006382743738866567
83,0.002987647931344528
84,0.007120636693193595
85,0.0042504173697961445
86,0.006972483415235642
87,0.0044090494605632784
88,0.007046850033940102
89,0.0063988507945305535
90,0.0056280583222514365
91,0.006119626680628631
92,0.006616045608960203
93,0.004316572289909053
94,0.008912553226272872
95,0.0038894980586714496
96,0.009240652104825053
97,0.004763048800964854
98,0.005624459937475295
99,0.005773232717574061
100,0.007372998139793189
101,0.0036335777699855586
102,0.00679596484776131
103,0.005228532164939921
104,0.007066199590171719
105,0.004882731342233288
106,0.006849110222914869
107,0.0061271397916994475
108,0.007735143274303242
109,0.003690914670262836
110,0.008135671179757291
111,0.004569685047615967
112,0.007300793188133785
113,0.0045872420019077665
114,0.007577222951953218
115,0.004480344930356212
116,0.007730859482903216
117,0.005246998601098185
118,0.007761096459738969
119,0.00551831417703094
120,0.008418783658161011
121,0.004024707696152776
122,0.006420427922290058
123,0.006301127627023601
124,0.00630705903050056
125,0.006818029668695595
126,0.006824435584450711
127,0.007463326824299225
128,0.007724361300871664
129,0.0035489300519209077
130,0.007358235535583988
131,0.004698436045755713
132,0.007626994017573469
133,0.004198761435960005
134,0.004075322339156164
135,0.008923071581772132
136,0.002934594822467387
137,0.003959409534319626
138,0.009076747655411723
139,0.0056302463510896055
140,0.005251229668911619
141,0.005638945742855941
142,0.004488293011015334
143,0.004105691124958068
144,0.009628644977598034
145,0.010924788446279901
146,0.0048870283145298
147,0.0055334590272422355
148,0.00978507585863026
149,0.008889275762850205
150,0.006058111436124121
151,0.00554592815544034
152,0.007227032890673637
153,0.014074086893716618
154,0.013315658102462562
155,0.005691142093452928
156,0.008283086327504787
157,0.005698101606865895
158,0.007255819968881815
159,0.00790446507222539
160,0.01386661958098905
161,0.006221804991191725
162,0.006092803556016028
163,0.006741659553705582
164,0.006872005440336056
165,0.009336503585012713
166,0.011023381552963589
167,0.006095901066720662
168,0.0062268664554920635
169,0.012584737842445248
170,0.007266153791828082
171,0.008824083048190112
172,0.005320943431110945
173,0.010513175406771996
174,0.005192218794764433
175,0.010516378364649812
176,0.005713180552593987
177,0.012076811991368
178,0.006363697343257348
179,0.006105813100975493
180,0.0038985137919564285
181,0.006109530113821185
182,0.009102068157810162
183,0.012879449509870326
184,0.011061474344182155
185,0.009112217448204073
186,0.015104833009046201
187,0.011592572211509132
188,0.004560260706535907
189,0.01211971580985134
190,0.00338933575570097
191,0.008606308274309249
192,0.012000310067411962
193,0.01630971194956232
194,0.008875172203471659
195,0.003786146648309449
196,0.0009140819993859633
197,0.0002612453709184088
